Cylinder Analysis in LS-Dyna,Resultant Force
    2.4925125122e+02,    1.5238348961e+01,
    2.4975042725e+02,    1.5353555679e+01,
    2.5024989319e+02,    1.5415510178e+01,
    2.5074963379e+02,    1.5422661781e+01,
    2.5124925232e+02,    1.5252295494e+01,
    2.5174876404e+02,    1.4900685310e+01,
    2.5224822998e+02,    1.4669171333e+01,
    2.5274765015e+02,    1.4560276031e+01,
    2.5324700928e+02,    1.4663416862e+01,
    2.5374632263e+02,    1.4984804153e+01,
    2.5424588013e+02,    1.5234134674e+01,
    2.5474571228e+02,    1.5406879425e+01,
    2.5524526978e+02,    1.5405575752e+01,
    2.5574458313e+02,    1.5219283104e+01,
    2.5624401855e+02,    1.5097021103e+01,
    2.5674359131e+02,    1.5043366432e+01,
    2.5724313354e+02,    1.4936722755e+01,
    2.5774261475e+02,    1.4772838593e+01,
    2.5824209595e+02,    1.4759593010e+01,
    2.5874154663e+02,    1.4906481743e+01,
    2.5924108887e+02,    1.5028915405e+01,
    2.5974069214e+02,    1.5124285698e+01,
    2.6024032593e+02,    1.5224931717e+01,
    2.6073992920e+02,    1.5331418037e+01,
    2.6123928833e+02,    1.5233420372e+01,
    2.6173837280e+02,    1.4907281876e+01,
    2.6223770142e+02,    1.4650510788e+01,
    2.6273733521e+02,    1.4471764565e+01,
    2.6323687744e+02,    1.4503301620e+01,
    2.6373632812e+02,    1.4767589569e+01,
    2.6423583984e+02,    1.4946249962e+01,
    2.6473544312e+02,    1.5027812004e+01,
    2.6523510742e+02,    1.5018610001e+01,
    2.6573477173e+02,    1.4904812813e+01,
    2.6623422241e+02,    1.4751213074e+01,
    2.6673339844e+02,    1.4551368713e+01,
    2.6723287964e+02,    1.4314074516e+01,
    2.6773269653e+02,    1.4033616066e+01,
    2.6823239136e+02,    1.3957912445e+01,
    2.6873196411e+02,    1.4125944138e+01,
    2.6923147583e+02,    1.4391435623e+01,
    2.6973089600e+02,    1.4772018433e+01,
    2.7023022461e+02,    1.5191528320e+01,
    2.7072940063e+02,    1.5657383919e+01,
    2.7122882080e+02,    1.5708230972e+01,
    2.7172851562e+02,    1.5252816200e+01,
    2.7222817993e+02,    1.4990372658e+01,
    2.7272784424e+02,    1.4957707405e+01,
    2.7322738647e+02,    1.5009545326e+01,
    2.7372674561e+02,    1.5164469719e+01,
    2.7422610474e+02,    1.5169771194e+01,
    2.7472546387e+02,    1.4988039017e+01,
    2.7522497559e+02,    1.4769466400e+01,
    2.7572473145e+02,    1.4505211830e+01,
    2.7622433472e+02,    1.4339431763e+01,
    2.7672372437e+02,    1.4297762871e+01,
    2.7722314453e+02,    1.4380949974e+01,
    2.7772256470e+02,    1.4624076843e+01,
    2.7822195435e+02,    1.4633869171e+01,
    2.7872134399e+02,    1.4351944923e+01,
    2.7922085571e+02,    1.4355791092e+01,
    2.7972052002e+02,    1.4731780052e+01,
    2.8022000122e+02,    1.5069519043e+01,
    2.8071920776e+02,    1.5357851028e+01,
    2.8121865845e+02,    1.5517807007e+01,
    2.8171835327e+02,    1.5506426811e+01,
    2.8221801758e+02,    1.5483850479e+01,
    2.8271759033e+02,    1.5446692467e+01,
    2.8321707153e+02,    1.5441903114e+01,
    2.8371636963e+02,    1.5481033325e+01,
    2.8421588135e+02,    1.5388050079e+01,
    2.8471569824e+02,    1.5115796089e+01,
    2.8521527100e+02,    1.4817510605e+01,
    2.8571453857e+02,    1.4483611107e+01,
    2.8621398926e+02,    1.4433223724e+01,
    2.8671371460e+02,    1.4770750046e+01,
    2.8721322632e+02,    1.4932879448e+01,
    2.8771249390e+02,    1.4853024483e+01,
    2.8821179199e+02,    1.4844587326e+01,
    2.8871115112e+02,    1.4934679031e+01,
    2.8921072388e+02,    1.5046483994e+01,
    2.8971060181e+02,    1.5188496590e+01,
    2.9021017456e+02,    1.5296118736e+01,
    2.9070941162e+02,    1.5355899811e+01,
    2.9120877075e+02,    1.5345139503e+01,
    2.9170834351e+02,    1.5236228943e+01,
    2.9220776367e+02,    1.5142280579e+01,
    2.9270703125e+02,    1.5070210457e+01,
    2.9320648193e+02,    1.5149960518e+01,
    2.9370626831e+02,    1.5453575134e+01,
    2.9420584106e+02,    1.5563202858e+01,
    2.9470510864e+02,    1.5386787415e+01,
    2.9520455933e+02,    1.5256253242e+01,
    2.9570434570e+02,    1.5193942070e+01,
    2.9620391846e+02,    1.5055521011e+01,
    2.9670321655e+02,    1.4803924561e+01,
    2.9720266724e+02,    1.4731846809e+01,
    2.9770239258e+02,    1.4928970337e+01,
    2.9820190430e+02,    1.5157458305e+01,
    2.9870111084e+02,    1.5432978630e+01,
    2.9920056152e+02,    1.5631025314e+01,
    2.9970031738e+02,    1.5711910248e+01,
    3.0019989014e+02,    1.5649332047e+01,
    3.0069918823e+02,    1.5369798660e+01,
    3.0119866943e+02,    1.5028932571e+01,
    3.0169845581e+02,    1.4594527245e+01,
    3.0219793701e+02,    1.4450056076e+01,
    3.0269705200e+02,    1.4747838020e+01,
    3.0319644165e+02,    1.5074728012e+01,
    3.0369625854e+02,    1.5448320389e+01,
    3.0419586182e+02,    1.5647428513e+01,
    3.0469519043e+02,    1.5566582680e+01,
    3.0519467163e+02,    1.5345952988e+01,
    3.0569445801e+02,    1.4899113655e+01,
    3.0619403076e+02,    1.4589670181e+01,
    3.0669326782e+02,    1.4502569199e+01,
    3.0719271851e+02,    1.4565280914e+01,
    3.0769244385e+02,    1.4870429039e+01,
    3.0819198608e+02,    1.5174246788e+01,
    3.0869122314e+02,    1.5475892067e+01,
    3.0919064331e+02,    1.5613937378e+01,
    3.0969036865e+02,    1.5482644081e+01,
    3.1018988037e+02,    1.5341146469e+01,
    3.1068908691e+02,    1.5182847023e+01,
    3.1118847656e+02,    1.5141899109e+01,
    3.1168817139e+02,    1.5295820236e+01,
    3.1218777466e+02,    1.5343523026e+01,
    3.1268731689e+02,    1.5214815140e+01,
    3.1318673706e+02,    1.5132706642e+01,
    3.1368594360e+02,    1.5132094383e+01,
    3.1418533325e+02,    1.5196182251e+01,
    3.1468502808e+02,    1.5374394417e+01,
    3.1518469238e+02,    1.5449282646e+01,
    3.1568435669e+02,    1.5341887474e+01,
    3.1618383789e+02,    1.5214448929e+01,
    3.1668301392e+02,    1.5051341057e+01,
    3.1718237305e+02,    1.4981650352e+01,
    3.1768206787e+02,    1.5079663277e+01,
    3.1818176270e+02,    1.5215282440e+01,
    3.1868142700e+02,    1.5418422699e+01,
    3.1918090820e+02,    1.5535741806e+01,
    3.1968011475e+02,    1.5497632027e+01,
    3.2017953491e+02,    1.5348494530e+01,
    3.2067941284e+02,    1.4996459007e+01,
    3.2117901611e+02,    1.4829094887e+01,
    3.2167816162e+02,    1.4999214172e+01,
    3.2217742920e+02,    1.5195349693e+01,
    3.2267700195e+02,    1.5440734863e+01,
    3.2317657471e+02,    1.5541014671e+01,
    3.2367611694e+02,    1.5376114845e+01,
    3.2417562866e+02,    1.5263353348e+01,
    3.2467501831e+02,    1.5246733665e+01,
    3.2517443848e+02,    1.5302872658e+01,
    3.2567398071e+02,    1.5499241829e+01,
    3.2617352295e+02,    1.5666461945e+01,
    3.2667303467e+02,    1.5777994156e+01,
    3.2717248535e+02,    1.5797262192e+01,
    3.2767187500e+02,    1.5641809464e+01,
    3.2817129517e+02,    1.5477969170e+01,
    3.2867074585e+02,    1.5297369003e+01,
    3.2917031860e+02,    1.5160889626e+01,
    3.2967016602e+02,    1.5113371849e+01,
    3.3016986084e+02,    1.5091534615e+01,
    3.3066918945e+02,    1.5121946335e+01,
    3.3116864014e+02,    1.5143344879e+01,
    3.3166833496e+02,    1.5146403313e+01,
    3.3216784668e+02,    1.5154485703e+01,
    3.3266705322e+02,    1.5172790527e+01,
    3.3316638184e+02,    1.5209311485e+01,
    3.3366598511e+02,    1.5282563210e+01,
    3.3416546631e+02,    1.5365233421e+01,
    3.3466476440e+02,    1.5467245102e+01,
    3.3516412354e+02,    1.5567416191e+01,
    3.3566366577e+02,    1.5663697243e+01,
    3.3616329956e+02,    1.5730840683e+01,
    3.3666317749e+02,    1.5735339165e+01,
    3.3716287231e+02,    1.5753807068e+01,
    3.3766223145e+02,    1.5802595139e+01,
    3.3816165161e+02,    1.5816297531e+01,
    3.3866116333e+02,    1.5754542351e+01,
    3.3916058350e+02,    1.5633208275e+01,
    3.3965979004e+02,    1.5381363869e+01,
    3.4015917969e+02,    1.5179460526e+01,
    3.4065902710e+02,    1.5086992264e+01,
    3.4115872192e+02,    1.5116136551e+01,
    3.4165802002e+02,    1.5419293404e+01,
    3.4215747070e+02,    1.5616614342e+01,
    3.4265719604e+02,    1.5582014084e+01,
    3.4315679932e+02,    1.5509572029e+01,
    3.4365621948e+02,    1.5352623940e+01,
    3.4415563965e+02,    1.5247789383e+01,
    3.4465521240e+02,    1.5258256912e+01,
    3.4515463257e+02,    1.5320042610e+01,
    3.4565380859e+02,    1.5497500420e+01,
    3.4615319824e+02,    1.5594421387e+01,
    3.4665301514e+02,    1.5506318092e+01,
    3.4715264893e+02,    1.5454651833e+01,
    3.4765191650e+02,    1.5489133835e+01,
    3.4815133667e+02,    1.5515992165e+01,
    3.4865100098e+02,    1.5525172234e+01,
    3.4915057373e+02,    1.5558543205e+01,
    3.4964984131e+02,    1.5649658203e+01,
    3.5014923096e+02,    1.5596034050e+01,
    3.5064901733e+02,    1.5193471909e+01,
    3.5114871216e+02,    1.3890573502e+01,
    3.5164819336e+02,    1.0396215439e+01,
    3.5214761353e+02,    9.0991210938e+00,
    3.5264688110e+02,    1.3150253296e+01,
    3.5314630127e+02,    1.6269870758e+01,
    3.5364608765e+02,    1.7099327087e+01,
    3.5414572144e+02,    1.7371007919e+01,
    3.5464508057e+02,    1.6230791092e+01,
    3.5514440918e+02,    1.5358444214e+01,
    3.5564373779e+02,    1.5177863121e+01,
    3.5614321899e+02,    1.5240888596e+01,
    3.5664300537e+02,    1.5908654213e+01,
    3.5714273071e+02,    1.6433147430e+01,
    3.5764227295e+02,    1.6580089569e+01,
    3.5814178467e+02,    1.6773233414e+01,
    3.5864120483e+02,    1.7089344025e+01,
    3.5914065552e+02,    1.7001720428e+01,
    3.5964013672e+02,    1.5871067047e+01,
    3.6013967896e+02,    1.4973329544e+01,
    3.6063928223e+02,    1.4689375877e+01,
    3.6113882446e+02,    1.4424382210e+01,
    3.6163824463e+02,    1.4209873199e+01,
    3.6213766479e+02,    1.4200605392e+01,
    3.6263705444e+02,    1.4737826347e+01,
    3.6313647461e+02,    1.5101439476e+01,
    3.6363598633e+02,    1.5002795219e+01,
    3.6413540649e+02,    1.4877210617e+01,
    3.6463458252e+02,    1.4675328255e+01,
    3.6513394165e+02,    1.4437599182e+01,
    3.6563372803e+02,    1.4098351479e+01,
    3.6613348389e+02,    1.3867563248e+01,
    3.6663311768e+02,    1.3950356483e+01,
    3.6713272095e+02,    1.4154567719e+01,
    3.6763226318e+02,    1.4699120522e+01,
    3.6813168335e+02,    1.5140056610e+01,
    3.6863085938e+02,    1.5281287193e+01,
    3.6913015747e+02,    1.5395529747e+01,
    3.6962963867e+02,    1.5430058479e+01,
    3.7012911987e+02,    1.5452960014e+01,
    3.7062841797e+02,    1.5441143990e+01,
    3.7112786865e+02,    1.5430275917e+01,
    3.7162768555e+02,    1.5422266960e+01,
    3.7212741089e+02,    1.5464142799e+01,
    3.7262695312e+02,    1.5653410912e+01,
    3.7312637329e+02,    1.5766844749e+01,
    3.7362554932e+02,    1.5648880005e+01,
    3.7412481689e+02,    1.5558033943e+01,
    3.7462435913e+02,    1.5551730156e+01,
    3.7512387085e+02,    1.5446047783e+01,
    3.7562338257e+02,    1.5027036667e+01,
    3.7612286377e+02,    1.4686601639e+01,
    3.7662231445e+02,    1.4596620560e+01,
    3.7712188721e+02,    1.4565392494e+01,
    3.7762185669e+02,    1.4721432686e+01,
    3.7812170410e+02,    1.4927188873e+01,
    3.7862121582e+02,    1.5296808243e+01,
    3.7912069702e+02,    1.5628748894e+01,
    3.7962008667e+02,    1.5840540886e+01,
    3.8011938477e+02,    1.5943366051e+01,
    3.8061853027e+02,    1.5694896698e+01,
    3.8111788940e+02,    1.5440842628e+01,
    3.8161782837e+02,    1.5167959213e+01,
    3.8211761475e+02,    1.4999816895e+01,
    3.8261688232e+02,    1.5189027786e+01,
    3.8311618042e+02,    1.5327936172e+01,
    3.8361563110e+02,    1.5297156334e+01,
    3.8411517334e+02,    1.5305944443e+01,
    3.8461492920e+02,    1.5452837944e+01,
    3.8511456299e+02,    1.5498075485e+01,
    3.8561370850e+02,    1.5196491241e+01,
    3.8611300659e+02,    1.4994118690e+01,
    3.8661279297e+02,    1.5134246826e+01,
    3.8711254883e+02,    1.5270566940e+01,
    3.8761203003e+02,    1.5393279076e+01,
    3.8811151123e+02,    1.5521172523e+01,
    3.8861090088e+02,    1.5668257713e+01,
    3.8911026001e+02,    1.5807610512e+01,
    3.8960952759e+02,    1.5917974472e+01,
    3.9010885620e+02,    1.5968616486e+01,
    3.9060842896e+02,    1.5800689697e+01,
    3.9110794067e+02,    1.5661063194e+01,
    3.9160729980e+02,    1.5627542496e+01,
    3.9210668945e+02,    1.5608794212e+01,
    3.9260629272e+02,    1.5646101952e+01,
    3.9310586548e+02,    1.5728164673e+01,
    3.9360537720e+02,    1.5984301567e+01,
    3.9410498047e+02,    1.6104393005e+01,
    3.9460479736e+02,    1.5695341110e+01,
    3.9510446167e+02,    1.5376708984e+01,
    3.9560369873e+02,    1.5423200607e+01,
    3.9610302734e+02,    1.5459145546e+01,
    3.9660263062e+02,    1.5454562187e+01,
    3.9710220337e+02,    1.5487163544e+01,
    3.9760168457e+02,    1.5666243553e+01,
    3.9810119629e+02,    1.5776425362e+01,
    3.9860064697e+02,    1.5608256340e+01,
    3.9910006714e+02,    1.5529670715e+01,
    3.9959933472e+02,    1.5817566872e+01,
    4.0009875488e+02,    1.6098611832e+01,
    4.0059869385e+02,    1.6351633072e+01,
    4.0109854126e+02,    1.6499137878e+01,
    4.0159783936e+02,    1.6186145782e+01,
    4.0209713745e+02,    1.5927243233e+01,
    4.0259646606e+02,    1.5895418167e+01,
    4.0309585571e+02,    1.5899819374e+01,
    4.0359536743e+02,    1.6060350418e+01,
    4.0409497070e+02,    1.6225532532e+01,
    4.0459478760e+02,    1.6411554337e+01,
    4.0509454346e+02,    1.6524580002e+01,
    4.0559405518e+02,    1.6318881989e+01,
    4.0609347534e+02,    1.6089120865e+01,
    4.0659265137e+02,    1.5752850533e+01,
    4.0709188843e+02,    1.5446644783e+01,
    4.0759121704e+02,    1.5278961182e+01,
    4.0809063721e+02,    1.5220444679e+01,
    4.0859039307e+02,    1.5665202141e+01,
    4.0909014893e+02,    1.6038597107e+01,
    4.0958984375e+02,    1.6064138412e+01,
    4.1008950806e+02,    1.6061561584e+01,
    4.1058898926e+02,    1.5927573204e+01,
    4.1108837891e+02,    1.5816950798e+01,
    4.1158743286e+02,    1.5818639755e+01,
    4.1208657837e+02,    1.5853149414e+01,
    4.1258609009e+02,    1.6049917221e+01,
    4.1308566284e+02,    1.6239870071e+01,
    4.1358551025e+02,    1.6395128250e+01,
    4.1408523560e+02,    1.6500461578e+01,
    4.1458444214e+02,    1.6358840942e+01,
    4.1508374023e+02,    1.6218357086e+01,
    4.1558358765e+02,    1.6083572388e+01,
    4.1608334351e+02,    1.6029191971e+01,
    4.1658251953e+02,    1.6384325027e+01,
    4.1708172607e+02,    1.6687957764e+01,
    4.1758120728e+02,    1.6713193893e+01,
    4.1808068848e+02,    1.6658737183e+01,
    4.1858041382e+02,    1.6179866791e+01,
    4.1908004761e+02,    1.5789239883e+01,
    4.1957928467e+02,    1.5882947922e+01,
    4.2007864380e+02,    1.6015695572e+01,
    4.2057839966e+02,    1.6359498978e+01,
    4.2107815552e+02,    1.6652843475e+01,
    4.2157769775e+02,    1.6655889511e+01,
    4.2207714844e+02,    1.6634428024e+01,
    4.2257632446e+02,    1.6467317581e+01,
    4.2307556152e+02,    1.6300945282e+01,
    4.2357522583e+02,    1.6138952255e+01,
    4.2407482910e+02,    1.5993310928e+01,
    4.2457427979e+02,    1.5943298340e+01,
    4.2507379150e+02,    1.5916117668e+01,
    4.2557354736e+02,    1.6024620056e+01,
    4.2607321167e+02,    1.6149370193e+01,
    4.2657238770e+02,    1.6373931885e+01,
    4.2707162476e+02,    1.6550888062e+01,
    4.2757113647e+02,    1.6435375214e+01,
    4.2807070923e+02,    1.6332809448e+01,
    4.2857046509e+02,    1.6312549591e+01,
    4.2907019043e+02,    1.6299337387e+01,
    4.2956958008e+02,    1.6330175400e+01,
    4.3006896973e+02,    1.6391351700e+01,
    4.3056848145e+02,    1.6652221680e+01,
    4.3106799316e+02,    1.6889747620e+01,
    4.3156759644e+02,    1.6970914841e+01,
    4.3206713867e+02,    1.7013790131e+01,
    4.3256625366e+02,    1.6800184250e+01,
    4.3306549072e+02,    1.6565490723e+01,
    4.3356536865e+02,    1.6186933517e+01,
    4.3406515503e+02,    1.5878488541e+01,
    4.3456457520e+02,    1.6039962769e+01,
    4.3506399536e+02,    1.6177431107e+01,
    4.3556347656e+02,    1.6145133972e+01,
    4.3606298828e+02,    1.6113985062e+01,
    4.3656253052e+02,    1.6091272354e+01,
    4.3706204224e+02,    1.6093114853e+01,
    4.3756161499e+02,    1.6282478333e+01,
    4.3806112671e+02,    1.6468532562e+01,
    4.3856051636e+02,    1.6628807068e+01,
    4.3905990601e+02,    1.6772771835e+01,
    4.3955932617e+02,    1.6787166595e+01,
    4.4005874634e+02,    1.6794656754e+01,
    4.4055807495e+02,    1.6749416351e+01,
    4.4105743408e+02,    1.6711585999e+01,
    4.4155700684e+02,    1.6731494904e+01,
    4.4205657959e+02,    1.6745357513e+01,
    4.4255636597e+02,    1.6708053589e+01,
    4.4305609131e+02,    1.6673667908e+01,
    4.4355541992e+02,    1.6664482117e+01,
    4.4405474854e+02,    1.6659606934e+01,
    4.4455416870e+02,    1.6692787170e+01,
    4.4505364990e+02,    1.6735036850e+01,
    4.4555331421e+02,    1.6855644226e+01,
    4.4605300903e+02,    1.6979656219e+01,
    4.4655258179e+02,    1.7133747101e+01,
    4.4705212402e+02,    1.7281829834e+01,
    4.4755151367e+02,    1.7377952576e+01,
    4.4805087280e+02,    1.7479053497e+01,
    4.4855026245e+02,    1.7626180649e+01,
    4.4904965210e+02,    1.7743156433e+01,
    4.4954901123e+02,    1.7581354141e+01,
    4.5004840088e+02,    1.7467422485e+01,
    4.5054818726e+02,    1.7816883087e+01,
    4.5104791260e+02,    1.8123409271e+01,
    4.5154711914e+02,    1.7982759476e+01,
    4.5204635620e+02,    1.7875793457e+01,
    4.5254580688e+02,    1.8128955841e+01,
    4.5304528809e+02,    1.8338584900e+01,
    4.5354522705e+02,    1.8105791092e+01,
    4.5404510498e+02,    1.7890707016e+01,
    4.5454425049e+02,    1.7855754852e+01,
    4.5504345703e+02,    1.7796916962e+01,
    4.5554315186e+02,    1.7476066589e+01,
    4.5604281616e+02,    1.7220504761e+01,
    4.5654244995e+02,    1.7700834274e+01,
    4.5704202271e+02,    1.8146631241e+01,
    4.5754122925e+02,    1.8192602158e+01,
    4.5804043579e+02,    1.8229501724e+01,
    4.5853985596e+02,    1.8158311844e+01,
    4.5903930664e+02,    1.8106983185e+01,
    4.5953918457e+02,    1.8292284012e+01,
    4.6003903198e+02,    1.8471426010e+01,
    4.6053808594e+02,    1.8568025589e+01,
    4.6103720093e+02,    1.8643247604e+01,
    4.6153692627e+02,    1.8440486908e+01,
    4.6203662109e+02,    1.8261041641e+01,
    4.6253613281e+02,    1.8404058456e+01,
    4.6303564453e+02,    1.8547006607e+01,
    4.6353521729e+02,    1.8689033508e+01,
    4.6403472900e+02,    1.8810771942e+01,
    4.6453393555e+02,    1.8622367859e+01,
    4.6503320312e+02,    1.8460849762e+01,
    4.6553308105e+02,    1.8696571350e+01,
    4.6603295898e+02,    1.8924777985e+01,
    4.6653253174e+02,    1.9033868790e+01,
    4.6703210449e+02,    1.9131111145e+01,
    4.6753155518e+02,    1.9025911331e+01,
    4.6803097534e+02,    1.8930746078e+01,
    4.6853018188e+02,    1.8989191055e+01,
    4.6902941895e+02,    1.9052734375e+01,
    4.6952914429e+02,    1.9200214386e+01,
    4.7002883911e+02,    1.9343906403e+01,
    4.7052810669e+02,    1.9422857285e+01,
    4.7102737427e+02,    1.9504890442e+01,
    4.7152713013e+02,    1.9644001007e+01,
    4.7202685547e+02,    1.9776807785e+01,
    4.7252612305e+02,    1.9787948608e+01,
    4.7302542114e+02,    1.9797126770e+01,
    4.7352517700e+02,    1.9764831543e+01,
    4.7402487183e+02,    1.9731369019e+01,
    4.7452416992e+02,    1.9672121048e+01,
    4.7502343750e+02,    1.9613075256e+01,
    4.7552279663e+02,    1.9558994293e+01,
    4.7602215576e+02,    1.9508214951e+01,
    4.7652203369e+02,    1.9542957306e+01,
    4.7702185059e+02,    1.9581619263e+01,
    4.7752142334e+02,    1.9727933884e+01,
    4.7802096558e+02,    1.9873302460e+01,
    4.7852023315e+02,    1.9996635437e+01,
    4.7901950073e+02,    2.0119646072e+01,
    4.7951879883e+02,    2.0234279633e+01,
    4.8001812744e+02,    2.0350698471e+01,
    4.8051794434e+02,    2.0516199112e+01,
    4.8101773071e+02,    2.0676504135e+01,
    4.8151702881e+02,    2.0684881210e+01,
    4.8201635742e+02,    2.0689922333e+01,
    4.8251617432e+02,    2.0583650589e+01,
    4.8301596069e+02,    2.0477527618e+01,
    4.8351522827e+02,    2.0376779556e+01,
    4.8401452637e+02,    2.0281322479e+01,
    4.8451382446e+02,    2.0409990311e+01,
    4.8501309204e+02,    2.0542692184e+01,
    4.8551290894e+02,    2.0863481522e+01,
    4.8601272583e+02,    2.1179719925e+01,
    4.8651199341e+02,    2.1261253357e+01,
    4.8701129150e+02,    2.1340362549e+01,
    4.8751104736e+02,    2.1259788513e+01,
    4.8801083374e+02,    2.1180969238e+01,
    4.8851040649e+02,    2.1235689163e+01,
    4.8900994873e+02,    2.1292890549e+01,
    4.8950924683e+02,    2.1478736877e+01,
    4.9000854492e+02,    2.1662734985e+01,
    4.9050790405e+02,    2.1739683151e+01,
    4.9100726318e+02,    2.1815593719e+01,
    4.9150708008e+02,    2.1811996460e+01,
    4.9200689697e+02,    2.1808071136e+01,
    4.9250622559e+02,    2.1774507523e+01,
    4.9300555420e+02,    2.1742328644e+01,
    4.9350488281e+02,    2.1863718033e+01,
    4.9400421143e+02,    2.1984804153e+01,
    4.9450405884e+02,    2.2043685913e+01,
    4.9500390625e+02,    2.2102706909e+01,
    4.9550326538e+02,    2.2208930969e+01,
    4.9600262451e+02,    2.2315137863e+01,
    4.9650201416e+02,    2.2399255753e+01,
    4.9700137329e+02,    2.2483373642e+01,
    4.9750079346e+02,    2.2412359238e+01,
    4.9800024414e+02,    2.2340856552e+01,
    4.9849966431e+02,    2.2380069733e+01,
    4.9900268555e+02,    2.2420146942e+01,
